UniqueID,Keyword
QNQB35PFAQ_UO0Y1HWRYWIGASP,China|sanctions|Western defence firms|US arms sales|Taiwan|presidential and parliamentary elections|tension|Beijing|Washington|US State Department|tactical information systems|Chinese Foreign Ministry|BAE Systems Land and Armament|Alliant Techsystems Operation|AeroVironment|ViaSat|Data Link Solutions|assets|ban|Beijing's control|Taiwan polls
T2R6CIR8JM_3M09DM8LW3LUQ6Z,"first day of the year|Turks|streets of Istanbul|Murderer Israel|get out of Palestine|pro-Palestinian rally|Turkey|Israel-Gaza war|7 October|mass protest|Turkish President|Recep Tayyip Erdogan|supporter of the Palestinians|Hamas|Israeli PM Benjamin Netanyahu|genocide against the Kurds|imprisoning journalists|Nazi Germany|Turkish-Israeli relations|Israeli intelligence service Mossad|MIT intelligence agency|Hamas abroad|support for Gaza|health minister|Egypt|military response|freedom fighters|genocide|Helin Sari Ertem|Associate Professor of International Relations|Istanbul Medeniyet University|Palestine-Israeli conflict|foreign policy issue|domestic politics|economic and strategic relationships|formally recognise Israel|relations with Israel deteriorated|Hamas leader Khaled Meshaal|terrorist group|Israel| the US and the EU|diplomatic crisis|World Economic Forum in Davos|Israeli air strikes in Gaza|Mavi Marmara|maritime blockade of the Gaza Strip|Israeli commandos|international waters|Turkish citizens|suspend diplomatic relations|conservative and pro-Islamic grassroots|AKP party|conservative-nationalist political groups|Republican People's Party in Turkey|Ozgur Ozel|international community|act for Gaza|Meral Aksener|Israeli prime minister a ""terrorist|frayed relationship with Israel|ambassadors|war erupted|Giorgio Cafiero|CEO of Gulf State Analytics|geopolitical risk consultancy|strong Muslim leader|Islamic world|regional and international supporters|rupture between the two countries|civilian casualties|Palestinian side|Turkish foreign policy approach|balancing act|economic relations|Turkish-Israeli relations|resilient|Mavi Mamara boat|flotilla of boats|carrying aid"
3N42VPL5PU_3KTEAM9EVPK8Q3Q,South Korea|opposition leader|Lee Jae-myung|stabbed|Busan|2022 presidential election|Democratic Party of Korea|Yoon Suk Yeol|attempted murder charges|Incheon|2027 presidential elections|corruption charges|Seongnam|Song Young-gil|Park Geun-hye
6M7CYO2662_GH6EPW1XATSALHW,China|sanctions|Western defence firms|US arms sales|Taiwan|presidential and parliamentary elections|Beijing|Washington|US State Department|tactical information systems|Chinese Foreign Ministry|BAE Systems Land and Armament|Alliant Techsystems Operation|AeroVironment|ViaSat|Data Link Solutions|assets freeze|ban|US embassy|Xi Jinping|reunified|constitution|democratically elected leaders|Taiwan polls
9DLT0Q05GD_ZTW8Z4TKDA0LR2P,US Food and Drug Administration|Florida|import prescription drugs|Canada|drug prices|policy shift|US pharmaceutical industry|lobbying group|HIV/AIDS|diabetes|hepatitis C|mental illness|taxpayers|OECD|Robert Califf|FDA specifications and standards|health care administration|President Joe Biden|executive order|Pharmaceutical Research and Manufacturers of America|Stephen J Ubl|Canada's healthcare system|drug shortages|export of prescription medicines|US government targets lowering cost of 10 key drugs
AC1N9Q8MPJ_53ZSRXY8RX0M0RW,first day of the year|Turks|streets of Istanbul|Murderer Israel|get out of Palestine|pro-Palestinian rally|Turkey|Israel-Gaza war|7 October|mass protest|Turkish President|Recep Tayyip Erdogan|supporter of the Palestinians|Hamas|Israeli PM|Benjamin Netanyahu|genocide against the Kurds|imprisoning journalists|Nazi Germany|Turkish-Israeli relations|Israeli intelligence service Mossad|MIT intelligence agency|Hamas abroad|support for Gaza|health minister|Egypt|military response|freedom fighters|genocide|Helin Sari Ertem|Associate Professor of International Relations|Istanbul Medeniyet University|Palestine-Israeli conflict|foreign policy issue|domestic politics|economic and strategic relationships|Khaled Meshaal|terrorist group|World Economic Forum|Davos|Shimon Peres|air strikes in Gaza|Mavi Marmara|maritime blockade of the Gaza Strip|Israeli commandos|international waters|Turkish citizens|diplomatic relations|conservative and pro-Islamic grassroots|AKP party|Republican People's Party|Ozgur Ozel|international community|Meral Aksener|Israeli prime minister|terrorist|Giorgio Cafiero|CEO of Gulf State Analytics|Washington DC|geopolitical risk consultancy|Muslim leader|Islamic world|regional and international supporters|anti-Israeli discourse|civilian casualties|Turkish foreign policy approach|balancing act|economic relations|Mavi Mamara boat|flotilla of boats|carrying aid
DNJJCO7813_IE12OO4TDDY6G9B,Turkey|seized 34 people|spying|planning abductions|Israel's Mossad intelligence agency|57 addresses raided|Istanbul|12 more suspects|Operation Mole|Israeli intelligence|tactical tasks|Recep Tayyip Erdogan|Hamas|heavy price|Benjamin Netanyahu|Defence Minister Yoav Gallant|Shin Bet domestic security|Ronen Bar|Saleh al-Arouri|Hezbollah|Turkish raids|interior minister|police|Mossad agents|2022|Palestinian citizens|MIT intelligence agency|anti-Israel rally|Istanbul|support for Hamas|Gaza
IUHNGMZINM_EM6FHMXJ6DOYFYW,Saudi Arabia|Israel|UK|Palestinian state|Prince Khalid bin Bandar|BBC|Gaza|Hamas|7 October attacks|Crown Prince Mohammed bin Salman|US Secretary of State Antony Blinken|normalisation|West Bank|military campaign|humanitarian crisis
KG28Q53BNQ_0UGOK307WEN56BC,Russia|ballistic missiles|launchers|North Korea|war|Ukraine|US|National Security Council|John Kirby|escalation|Pyongyang|UN Security Council|sanctions|arms transfers|Moscow|Kim Jong Un|missile launch vehicle production|military co-operation|weapons|US intelligence|Western countries|military technologies|International Institute for Strategic Studies|Soviet RD-250 rocket engine|illicit channels|Hwasong-12|Hwasong-14|UN Security Council resolutions|Iran|UK|sanctions regime|Foreign| Commonwealth and Development Office|US Congress|funding|Ukrainians|US military aid package|Republicans|US-Mexico border|Western aid
M9A41AJ8U2_ON2OBKKWKDU3SX5,video|not be played|9 August 2023|young musicians|Kristina Spitsyna|Svitlana Siemieikina|supermarket|Ukraine|park|Russian rocket|killed|10|000 Ukrainian civilians|Russia's invasion|February 2022
MOCQG45NFF_X2OZ51KNETHOZSI,hunch|watching|Agent One|photos|Atesh|Crimean Tatar|Russian forces|occupied Crimea|Russian servicemen|Russian military movements|Ukrainian strikes|Crimea|Minsk|Rostov-on-Don|Black Sea Fleet|radar station|Yevpatoria|Ukrainian intelligence|terrorist organisation|Kremlin|messaging apps|resistance movement|Crimeans|treason charges|Crimean Peninsula|Ukrainian|Crimean Tatar minorities|National Resistance Centre|Special Operation Forces|Storm Shadow|Himars|Russian military targets|Kyiv|Andriy Ryzhenko|Sevastopol|Novorossiysk|FSB|Federal Security Service|Telegram|Crimean Tatar population
PBWD87G6GJ_9QH4QW59PDU6SLO,Ukraine|Russia|prisoners of war|swap|armed forces|border guard|United Arab Emirates|mediated|Volodymyr Zelensky|Russian Ministry of Defence|Snake Island|Ukrainian resistance|National Guardsmen|Chernobyl exclusion zone|Azovstal steel plant|torture
QAV32KJ3O1_GK26CVY8IU54ZQ9,US Secretary of State Antony Blinken|Palestinians|Gaza|Israeli ministers|resettlement of Palestinians|Qatar|Middle East tour|Jabalia refugee camp|Israel Defense Forces (IDF)|Hamas|Khan Younis|Israel's war against Hamas|Hamas-run health ministry|Israeli bombardment|Finance Minister Bezalel Smotrich|National Security Minister Itamar Ben-Gvir|Gaza residents|Al-Aqsa Hospital|United Nation's Office for the Coordination of Humanitarian Affairs (OCHA)|World Health Organization|Tedros Adhanom Ghebreyesus|Saleh al-Arouri|Hassan Nasrallah|Hezbollah|Qatar's PM Sheikh Mohammed bin Abdulrahman al -Thani|journalist Hamza al-Dahdouh|Al Jazeera
RKYO73YGV7_1V61T69FJQBN7VL,President Volodymyr Zelensky|Ukraine|weapons|drones|fighting|Odesa|Donetsk region|Vladimir Putin|Russian president|economic issues|year of the family|F-16 fighter jets|Western partners|massive shelling|rocket systems|Russian drone attack|Kyiv|Ukrainian attacks|Belgorod|Western allies|military aid|US Congress|full-scale invasion|combat post|BBC News|Ukraine war|NY speech|kamikaze drones
TKKLBAPQ0L_6JA2ENZL4UDJWJP,video|not be played|Ukraine|deadly Russian air assault|threatens|overwhelm|missile|narrowly missed|apartment block|Kyiv|destroyed|flats|BBC|Ukraine correspondent|James Waterhouse
XBDT56XD4R_1UFBCYN8I65FJGB,Danes|New Year's Eve|Queen Margrethe II|abdication|reigning queen|longest-serving living monarch|Europe|14 January|Crown Prince Frederik|Denmark|Aarhus University|political science|Danish royal|Harvard|United States|Danish navy|Pingo|Greenland|environment|Princess Mary|Tasmania|lawyer|Sydney|Olympic Games|modern values|state schools|Christiansborg Palace|Copenhagen|King of Denmark|head of state|constitutional monarchy|Greenland|Faroe Islands|King Frederik IX|surgery|Danish public|family titles|52-year reign
ZQ9MQ9YQ1Z_21VOB9YLQIWPHL6,video|played|Trip from hell|flight|mid-air blow out|passengers|flight cancellations|US airlines|Boeing jets|Oregon|US aviation regulator|Boeing 737 Max 9s|Alaska Airlines|fuselage|United Airlines|Federal Aviation Administration (FAA)|inspections|European Union Aviation Safety Agency (EASA)|London Heathrow|emergency landing|distress call|air traffic control|injured|Ben Minicucci|pilots|flight attendants|Turkish Airlines|Flydubai|Civil Aviation Authority (CAA)|National Transportation Safety Board (NTSB)|Jennifer Homendy|Cedar Hills|Portland|Boeing's 737 Max|John Strickland|safety record|rudder control systems
103CDN3W2I_XXVWT5KZNY3JYUN,measles cases|Philadelphia|children|city’s health department|immunity to the virus|Philadelphia Department of Public Health|Children’s Hospital of Philadelphia|quarantine|day care|Health Department|vaccines|US Centers for Disease Control and Prevention|MMR vaccine|immunoglobulin|American Academy of Pediatrics|vaccination|measles| mumps and rubella vaccinations|infected person|respiratory illnesses|rash|complications|outbreaks|unvaccinated person|Dr. Sanjay Gupta|vaccine-preventable diseases|CDC
3EX9XEZAK0_P0T30X9RR6VXQ2K,Traveling|Africa|popular destinations|2024|government of Kenya|tourists|visa|Electronic Travel Authorization|social media|outrage|travel industry|tourism|visitors|policy|online|processing fee|Kenyan President|William Ruto|borderless Africa|free movement|people|goods|continent|China|visa-free scheme|ETA|business traveler|Malawi|startup|Zuwa Energy|Nairobi|partners|investors|children|Kenya’s tourism board|annual visitors|Sean Mendis|LinkedIn|aviation executive|Kenyan tourism|Kenyan travelers|unrestricted access|reciprocal terms|Kenyan authorities|Ministry of Interior|East African Community|EAC|Nixon Ng’ang’a|International Civil Aviation Organization|Muthuri Kinyamu|Turnup.Travel|visa-free aspect
40IZIL0WFK_NCKOOV3ZE3RXXL5,Traveling|Africa|popular destinations|2024|government of Kenya|tourists|visa|Electronic Travel Authorization|social media|outrage|travel industry|tourism|visitors|apply online|processing fee|Kenyan President|William Ruto|borderless Africa|free movement|people and goods|China|visa-free scheme|ETA|Jones Ntaukira|business traveler|Malawi|startup power company|Zuwa Energy|Nairobi|partners|investors|children|Kenya’s tourism board|annual visitors|Sean Mendis|aviation executive|Kenyan tourism|Kenyan travelers|unrestricted access|reciprocal terms|Kenyan authorities|Ministry of Interior|East African Community (EAC)|regional bloc|Nixon Ng’ang’a|director of communications|International Civil Aviation Organization|Muthuri Kinyamu|Kenyan tour operator|Turnup.Travel|new measures|visa-free aspect|arrivals|ease of travel|standardizing the rates
5KNWIDX8W6_V4IZJ9ZZACXCTCR,Five people killed|Japan Airlines plane|earthquake relief aircraft|Tokyo’s Haneda airport|JAL flight 516|Airbus A350-900|Japan Coast Guard|De Havilland Canada DHC-8|Tetsuo Saito|Noriyuki Aoki|Tadayuki Tsutsumi|France aviation agency|Japan Transport Safety Board|LiveATC.net|Guy Maestre
CJU6QGHQ28_LG8SWFUUJPQ2PM5,Traveling|Africa|popular destinations|2024|government of Kenya|tourists|visa|Electronic Travel Authorization|social media|outrage|travel industry|tourism|visitors|apply online|processing fee|Kenyan President|William Ruto|borderless Africa|free movement|people and goods|continent|China|visa-free scheme|ETA|Jones Ntaukira|business traveler|Malawi|startup power company|Zuwa Energy|Nairobi|partners|investors|children|Kenya’s tourism board|annual visitors|Sean Mendis|LinkedIn|aviation executive|Kenyan tourism|Kenyan travelers|unrestricted access|reciprocal terms|Kenyan authorities|Ministry of Interior|East African Community|EAC|Nixon Ng’ang’a|director of communications|International Civil Aviation Organization|Muthuri Kinyamu|Kenyan tour operator|Turnup.Travel
EMSUUD3IL6_J3TWRCJ6IJKEC9I,Five people killed|Japan Airlines plane|earthquake relief aircraft|Tokyo’s Haneda airport|JAL flight 516|Japan Coast Guard|Airbus A350-900|Sapporo|De Havilland Canada DHC-8|Tetsuo Saito|Noriyuki Aoki|Tadayuki Tsutsumi|France aviation agency|Japan Transport Safety Board|LiveATC.net
HJISU3AK2X_NPVZ0D4CU0BESOI,Food and Drug Administration|Florida|import|drugs|Canada|lower-cost medications|Medicaid enrollees|inmates|drug prices|Joe Biden|Ron DeSantis|Big Pharma|US law|drug importation|Donald Trump|Department of Health and Human Services|executive order|FDA commissioner|HIV/AIDS|mental illness|prostate cancer|Department of Health|Medicaid|Jason Weida|Agency for Health Care Administration|Colorado|Maine|Texas|New Hampshire|FDA requirements|Robert Califf|Pharmaceutical Research and Manufacturers of America|PhRMA|Stephen Ubl|Health Canada|Maureen Hensley-Quinn|National Academy for State Health Policy
IFFMRP8O1L_SC22YVGKNQ01773,Food and Drug Administration|Florida|import|drugs|Canada|lower-cost medications|public programs|Medicaid|inmates|drug prices|Joe Biden|Ron DeSantis|Big Pharma|US law|drug importation|Donald Trump|Department of Health and Human Services|executive order|FDA commissioner|drug industry|HIV/AIDS|mental illness|prostate cancer|Department of Health|state correctional facilities|state agencies|Medicaid enrollees|Jason Weida|Agency for Health Care Administration|Colorado|Maine|Texas|New Hampshire|FDA requirements|FDA Commissioner Robert Califf|Pharmaceutical Research and Manufacturers of America|PhRMA|Stephen Ubl|Canadian government|Health Canada|Maureen Hensley-Quinn|National Academy for State Health Policy
MFFUS75Z1V_8EE9CAJ47YTL0G1,China|Myanmar|protest|artillery shells|injured|battles|ruling junta|rebel groups|border|Foreign Ministry|armed conflict|ceasefire|Wang Wenbin|Nansan|Global Times|Zhenkang|Yunnan|Laukkai|Kokang|embassy|security risks|Shan state|online scam warlords|junta|displaced|United Nations|travel advisory
MYCP1LTI8Y_YNOFYX9UZVZ0R9N,China|Myanmar|protest|artillery shells|battles|ruling junta|rebel groups|border|Foreign Ministry|armed conflict|ceasefire|Wang Wenbin|Nansan|Global Times|Zhenkang|Yunnan|Laukkai|Kokang|security risks|online scam warlords|displaced people|United Nations|travel advisory
NE9HL96O5I_RRG49EFRJNBB45H,Russia|North Korean-supplied short-range ballistic missiles|Ukraine|escalation|Pyongyang|Moscow|war in Europe|security|Korean Peninsula|White House|National Security Council|John Kirby|missiles|drones|sanctions|export controls|isolated|world stage|military equipment|DPRK|Democratic People's Republic of Korea|Kim Jong Un|operational environment|propaganda machine|accuracy|guidance systems|Joseph Dempsey|International Institute for Strategic Studies|reunification|South Korea|spy satellites|Ankit Panda|Nuclear Policy Program|Carnegie Endowment for International Peace|Western missile defense systems|fighter aircraft|surface-to-air missiles|armored vehicles|ballistic missile production equipment|war materials|advanced technologies|Indo-Pacific region|East Asia|F-35 stealth fighter jets|air defenses|Russian surface-to-air missiles|tracking radars|Lee Jang Wook|Korea Institute for Defense Analyses|nuclear weapons|Iran|SRBMs|quantitative|qualitive|deep strikes|civilian infrastructure|Ukrainian civilians|Soeun Kim.
OGQEXXHH98_CDCYWVHDEF5KUDG,CNN|China|foreign national|overseas consulting firm|spying|United Kingdom|Ministry of State Security|MSS|Huang|MI6|intelligence|Capvision|national security|WeChat|counter-espionage law
QO0VVC3Q5Q_DDM92120QNLLX1Z,Russia|North Korean-supplied short-range ballistic missiles|Ukraine|escalation|Pyongyang|Moscow|war in Europe|security|Korean Peninsula|White House|National Security Council|John Kirby|missiles|drones|sanctions|export controls|isolated|world stage|military equipment|DPRK|Democratic People's Republic of Korea|Kim Jong Un|operational environment|propaganda machine|accuracy|guidance systems|Joseph Dempsey|International Institute for Strategic Studies|reunification|South Korea|spy satellites|Ankit Panda|Nuclear Policy Program|Carnegie Endowment for International Peace|Western missile defense systems|fighter aircraft|surface-to-air missiles|armored vehicles|ballistic missile production equipment|war materials|advanced technologies|Indo-Pacific region|East Asia|F-35 stealth fighter jets|air defenses|Russian surface-to-air missiles|tracking radars|Lee Jang Wook|Korea Institute for Defense Analyses|nuclear weapons|armaments|Iran|SRBMs|quantitative|supply line|deep strikes|counterstrikes|civilian infrastructure|innocent Ukrainian civilians|Soeun Kim.
SWSSVC8RO1_1KXOP847IZ0BW5F,Food and Drug Administration|Florida|import|drugs|Canada|lower-cost medications|Medicaid enrollees|inmates|drug prices|Joe Biden|Ron DeSantis|Big Pharma|Donald Trump|Department of Health and Human Services|drug importation programs|HIV/AIDS|mental illness|prostate cancer|state Department of Health|Medicaid|Jason Weida|Colorado|Maine|Texas|FDA approval|New Hampshire|FDA requirements|FDA Commissioner Robert Califf|Pharmaceutical Research and Manufacturers of America|PhRMA|Stephen Ubl|Canadian government|Health Canada|Maureen Hensley-Quinn|National Academy for State Health Policy.
T6O3T188RJ_HQYZZFF3SEMCBZZ,Russia|North Korean-supplied short-range ballistic missiles|Ukraine|escalation|Pyongyang|Moscow|war in Europe|security|Korean Peninsula|White House|National Security Council|John Kirby|missiles|drones|sanctions|export controls|isolated|world stage|military equipment|DPRK|Democratic People's Republic of Korea|Kim Jong Un|Joseph Dempsey|International Institute for Strategic Studies|Ankit Panda|Carnegie Endowment for International Peace|Western missile defense systems|South Korea|Indo-Pacific region|F-35 stealth fighter jets|Russian surface-to-air missiles|Lee Jang Wook|Korea Institute for Defense Analyses|nuclear weapons|Iran|Ukrainian counterstrikes|civilian infrastructure|innocent Ukrainian civilians|Soeun Kim.
U8TXNCPMW7_KF51RM5AVAVX9AF,White House|Middle East|US helicopters|Houthi boats|Red Sea|Iranian-backed Houthi rebel group|commercial and merchant vessels|National Security Council|self-defense|John Kirby|ABC News|Maersk Hangzhou|US Central Command|USS Eisenhower|Gravely|Hamas|Israel|Operation Prosperity Guardian|multinational maritime coalition|President Joe Biden|Iranian proxy groups|American troops|Iraq|Syria|Lucas Lilieholm|CNN
WAAI9L17NM_MU0M65HVX21FQSB,China|Myanmar|protest|artillery shells|injured|battles|ruling junta|rebel groups|border|Foreign Ministry|armed conflict|ceasefire|Wang Wenbin|safeguard|citizens|Nansan|Global Times|Zhenkang|Yunnan|Laukkai|Kokang|embassy|security risks|Shan state|online scam warlords|displaced|United Nations|travel advisory
WWGGVZJICS_QMWNS51PR290F7E,CNN|China|foreign national|overseas consulting firm|spying|United Kingdom|Ministry of State Security (MSS)|Huang|MI6|intelligence|Capvision|national security|Beijing|Mintz Group|Bain|WeChat|counter-espionage law|legal risks
XB6K8ECHSI_GNURZKW0JH4HOOT,Editor’s Note|CNN|Meanwhile in China newsletter|China|foreign national|overseas consulting firm|spying|United Kingdom|civilian spy agency|Ministry of State Security (MSS)|Huang|Britain’s MI6|intelligence matters|Capvision|national security|British Embassy in Beijing|UK Foreign| Commonwealth and Development Office (FCDO)|international consulting firms|Mintz Group|Bain|WeChat|counter-espionage law
01LU3KYB73_DT9BJSWLDF7W810,Japan|US$37 million|NATO trust fund|UAV detecting systems|Ukraine|Yōko Kamikawa|Minister of Foreign Affairs of Japan|Dmytro Kuleba|air raid warning|shelter|support for Ukraine|drone detection system|mobile gas turbine generators|transformers|Kyiv
06NYCUBXN2_FOWFUQWZ12FFWG2,corporate landlord|rent increase|California|lawsuit|Department of Justice|Invitation Homes|rental homes|settlement|California Tenant Protection Act|price-gouging law|state emergencies|civil money penalties|housing crisis|Los Angeles County Superior Court|California Department of Justice|remediation|home leasing company|rent caps|rental rates|average monthly rent
0MWG1IOOXX_Z8ODOLQDMVFWO4F,PARIS|Reuters|French cognac makers|China|dumping brandy|Chinese market|price discounts|formal investigation|Bureau National Interprofessionnel du Cognac|BNIC|anti-dumping investigation|European Union|France|Beijing|Brussels|Remy Cointreau|Pernod Ricard|trade disputes|Europe|unfair competition|protectionism|international regulations
0PNY6B86ZY_V5CR9TS6YC7UNSL,1|600 years ago|Roman empire|Italy|Emperor Constantine|religious holiday|rescript|monumental discovery|Saint Louis University|Roman temple|Douglas Boin|Spello|Imperial Cult|paganism|Christianity|Harvard Divinity School|Julius Caesar|ancient town|underground imaging|temple ruins|parking lot|social change|cultural change|excavation|Rome|burial mound|Norway|mummies|gold tongues|graves|tomb|treasures
0XJU10OATC_BDUW9N1DV1EMJDT,Russian forces|Ukraine’s defence industry|long-range strikes|Moscow|war|British intelligence officials|missile and drone duel|military and industrial capacities|Ministry of Defence|Kyiv|occupied Crimea|Russian border region|Ukrainian drone and missile producers|energy infrastructure|defence industrial capacity|air-defence systems|Iranian-made kamikaze drones|air-launched cruise missiles|ballistic missiles|civilian targets|heating and power stations|Belgorod|ammunition bunker|Ukrainian missiles|drones|civilian casualties|Kursk region|Sevastopol|Belbek air base|bombing sorties|explosion|major drone and missile attacks|Ukrainian cities|war began in February 2022|weapons and ammunition|attack drones and missiles|The Telegraph
106PN3KR0U_07AUG3KHJBQ5Q8W,Russia|Ukraine|prisoners exchange|United Arab Emirates|Ukrainian President|Volodymyr Zelensky|soldiers|sergeants|officers|civilians|social media|Russian state news agency|TASS|Margarita Simonyan|Rossiya Segodnya media group|Azov regiment|terrorist organization|UAE's Foreign Ministry|peaceful solution|conflict|diplomacy|dialogue|reducing escalation|war
18H8CZATVJ_I1Y72KX02MN6ZFU,United States Secretary of State|Antony Blinken|Greece|support for Ukraine|State Department|Matthew Miller|Middle East|Europe|Türkiye|Jordan|Qatar|United Arab Emirates|Saudi Arabia|Israel|West Bank|Egypt|NATO ally|regional maritime security|economic sanctions|Russian oil|U.S. sanctions
1D6CHX8U6F_7NZX25QCUC2R80I,Taiwanese President Tsai Ing-wen|Taipei|Beijing|long-term peaceful coexistence|democratic procedures|election|self-ruled island|China|Democratic Progressive Party (DPP)|New Year speech|territorial claims|democracy|Chinese President Xi Jinping|reunified|use of force|sovereignty|Vice President Lai Ching-te|Taiwan independence|Kuomintang (KMT) party|Taiwan People's Party Ko Wen-je|pro-independence remarks|Taiwan's security
1OZ6YVER64_9RXCT8VGH07T78I,South Korean opposition leader|Lee Jae-myung|Democratic Party|stabbed|neck|assailant|paper hat|18cm-knife|Busan city|Gadeok island|Seoul|surgery|major blood vessel|jugular vein|carotid artery|Busan police|online knife|Yoon Suk Yeol|political terror|bribery charges|North Korea|Seongnam city|political violence|Song Young-gil|Korean Peninsula|Taiwan|Japan|US|US-China Policy Institute|Ajou University|Kim Heung-kyu|Busan Metropolitan Police Agency|attempted murder|Kim Soo-kyung|People Power Party|Gyeonggi province|corruption|Mark Lippert|gun restrictions|Park Geun-hye
1W6TILJDI3_07ED1ZSM7RBRTLR,2 January Russian attack|Ukraine's power system|damage to the grid|Volodymyr Kudrytskyi|Ukrenergo|national energy company|uninterrupted power supply|Kyiv|water supply systems|regional power distribution companies|Kyiv Oblast|state of emergency|trunk power grid equipment|Russian missile attack|Ukrainian power system protection
